total_area,kitchen_area,rooms,floor,floors_total,ceiling_height,house_year_clean,renovation_ord,district_Алатауский р-н,district_Алмалинский р-н,district_Ауэзовский р-н,district_Бостандыкский р-н,district_Жетысуский р-н,district_Медеуский р-н,district_Наурызбайский р-н,district_Турксибский р-н,dist_to_metro_km,schools_count,universities_count,malls_count,parks_count,kindergarten_density,has_complex,balcony_count,parking_level,price_clean
76.0,13.0,3.0,13.0,16.0,2.8,2020,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,0,85000000
44.0,11.0,1.0,8.0,14.0,3.0,2020,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,66900000
110.0,11.0,3.0,8.0,12.0,2.8,2023,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,1,2,115000000
32.0,6.0,1.0,5.0,5.0,2.7,1973,2,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,1,0,33300000
78.1,11.0,2.0,4.0,9.0,2.85,2025,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,1,0,0,54670000
50.3,11.0,1.0,4.0,9.0,3.0,2027,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,27665000
45.5,11.0,1.0,4.0,9.0,2.9,2024,-1,False,False,False,False,False,False,False,False,14.931964856764512,0.0,0.0,0.0,0.0,15.306989492919142,1,0,0,19110000
160.0,21.0,3.0,20.0,28.0,3.0,2010,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,0,150000000
84.3,11.0,2.0,2.0,7.0,3.8,2017,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,2,105796500
75.64,12.0,3.0,3.0,6.0,2.7,2025,1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,1,2,52490000
14.0,11.0,1.0,3.0,5.0,2.8,1975,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,0,0,12000000
41.3,9.0,1.0,4.0,12.0,2.9,2018,3,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,1,2,28000000
104.0,11.0,3.0,7.0,7.0,3.2,2018,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,1,0,150000000
87.0,9.5,3.0,2.0,5.0,2.8,1974,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,0,1,79000000
106.0,7.0,3.0,3.0,3.0,3.2,2021,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,2,2,81000000
106.0,11.0,3.0,9.0,12.0,3.0,2024,3,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,1,2,87000000
67.8,11.0,2.0,1.0,2.0,2.7,1985,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,0,0,40000000
33.0,11.0,2.0,14.0,16.0,2.9,2025,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,1,2,30500000
58.6,11.0,2.0,4.0,7.0,3.8,2017,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,2,79110000
